state,date,value
Florida,2023-11-01,0.88
Florida,2023-12-01,0.92
Florida,2024-01-01,0.1
Florida,2024-02-01,0.9
Florida,2024-03-01,0.4
Florida,2024-04-01,0.52
Florida,2024-05-01,0.97
Florida,2024-06-01,0.67
Florida,2024-07-01,0.69
Florida,2024-08-01,0.46
Florida,2024-09-01,0.51
Florida,2024-10-01,0.13
Florida,2024-11-01,0.82
Florida,2024-12-01,0.01
Georgia,2020-01-01,0.56
Georgia,2020-02-01,0.5
Georgia,2020-03-01,0.02
Georgia,2020-04-01,0.74
Georgia,2020-05-01,0.45
Georgia,2020-06-01,0.04
Georgia,2020-07-01,0.22
Georgia,2020-08-01,0.28
Georgia,2020-09-01,0.71
Georgia,2020-10-01,0.05
Georgia,2020-11-01,0.01
Georgia,2020-12-01,0.89
Georgia,2021-01-01,0.0
Georgia,2021-02-01,0.61
Georgia,2021-03-01,0.18
Georgia,2021-04-01,0.08
Georgia,2021-05-01,0.32
Georgia,2021-06-01,0.73
Georgia,2021-07-01,0.11
Georgia,2021-08-01,0.26
Georgia,2021-09-01,0.65
Georgia,2021-10-01,0.75
Georgia,2021-11-01,0.03
Georgia,2021-12-01,0.38
Georgia,2022-01-01,0.8
Georgia,2022-02-01,0.32
Georgia,2022-03-01,0.66
Georgia,2022-04-01,0.63
Georgia,2022-05-01,0.46
Georgia,2022-06-01,0.56
Georgia,2022-07-01,0.36
Georgia,2022-08-01,0.28
Georgia,2022-09-01,0.33
Georgia,2022-10-01,0.76
Georgia,2022-11-01,0.62
Georgia,2022-12-01,0.29
Georgia,2023-01-01,0.91
Georgia,2023-02-01,0.49
Georgia,2023-03-01,0.91
Georgia,2023-04-01,0.84
Georgia,2023-05-01,0.56
Georgia,2023-06-01,0.79
Georgia,2023-07-01,0.81
Georgia,2023-08-01,0.4
Georgia,2023-09-01,0.3
Georgia,2023-10-01,0.09
Georgia,2023-11-01,0.56
Georgia,2023-12-01,0.33
Georgia,2024-01-01,0.37
Georgia,2024-02-01,0.92
Georgia,2024-03-01,0.3
Georgia,2024-04-01,0.07
Georgia,2024-05-01,0.29
Georgia,2024-06-01,0.03
Georgia,2024-07-01,0.63
Georgia,2024-08-01,0.29
Georgia,2024-09-01,0.66
Georgia,2024-10-01,0.33
Georgia,2024-11-01,0.78
Georgia,2024-12-01,0.47
Hawaii,2020-01-01,0.28
Hawaii,2020-02-01,0.8
Hawaii,2020-03-01,0.57
Hawaii,2020-04-01,0.27
Hawaii,2020-05-01,0.65
Hawaii,2020-06-01,0.48
Hawaii,2020-07-01,0.17
Hawaii,2020-08-01,0.74
Hawaii,2020-09-01,0.57
Hawaii,2020-10-01,0.44
Hawaii,2020-11-01,0.22
Hawaii,2020-12-01,0.52
Hawaii,2021-01-01,0.73
Hawaii,2021-02-01,0.99
Hawaii,2021-03-01,0.51
Hawaii,2021-04-01,0.59
Hawaii,2021-05-01,0.73
Hawaii,2021-06-01,0.34
Hawaii,2021-07-01,0.01
Hawaii,2021-08-01,0.68
Hawaii,2021-09-01,0.97
Hawaii,2021-10-01,0.03
Hawaii,2021-11-01,0.17
Hawaii,2021-12-01,0.33
Hawaii,2022-01-01,0.29
Hawaii,2022-02-01,0.09
Hawaii,2022-03-01,0.15
Hawaii,2022-04-01,0.04
Hawaii,2022-05-01,0.11
Hawaii,2022-06-01,0.81
Hawaii,2022-07-01,0.77
Hawaii,2022-08-01,0.56
Hawaii,2022-09-01,0.48
Hawaii,2022-10-01,0.15
Hawaii,2022-11-01,0.49
Hawaii,2022-12-01,0.64
Hawaii,2023-01-01,0.36
Hawaii,2023-02-01,0.83
Hawaii,2023-03-01,0.18
Hawaii,2023-04-01,0.97
Hawaii,2023-05-01,0.18
Hawaii,2023-06-01,0.79
Hawaii,2023-07-01,0.08
Hawaii,2023-08-01,0.99
Hawaii,2023-09-01,0.71
Hawaii,2023-10-01,0.28
Hawaii,2023-11-01,0.26
Hawaii,2023-12-01,0.11
Hawaii,2024-01-01,0.8
Hawaii,2024-02-01,0.72
Hawaii,2024-03-01,0.07
Hawaii,2024-04-01,0.91
Hawaii,2024-05-01,0.71
Hawaii,2024-06-01,0.44
Hawaii,2024-07-01,0.17
Hawaii,2024-08-01,0.44
Hawaii,2024-09-01,0.02
Hawaii,2024-10-01,0.61
Hawaii,2024-11-01,0.17
Hawaii,2024-12-01,0.95
Idaho,2020-01-01,0.64
Idaho,2020-02-01,0.59
Idaho,2020-03-01,0.29
Idaho,2020-04-01,0.38
Idaho,2020-05-01,0.9
Idaho,2020-06-01,0.81
Idaho,2020-07-01,0.51
Idaho,2020-08-01,0.89
Idaho,2020-09-01,0.42
Idaho,2020-10-01,0.94
Idaho,2020-11-01,0.21
Idaho,2020-12-01,0.48
Idaho,2021-01-01,0.05
Idaho,2021-02-01,0.13
Idaho,2021-03-01,0.1
Idaho,2021-04-01,0.25
Idaho,2021-05-01,0.43
Idaho,2021-06-01,0.64
Idaho,2021-07-01,0.41
Idaho,2021-08-01,0.12
Idaho,2021-09-01,0.4
Idaho,2021-10-01,0.89
Idaho,2021-11-01,0.37
Idaho,2021-12-01,0.36
Idaho,2022-01-01,0.57
Idaho,2022-02-01,0.41
Idaho,2022-03-01,0.86
Idaho,2022-04-01,1.0
Idaho,2022-05-01,0.87
Idaho,2022-06-01,0.55
Idaho,2022-07-01,0.88
Idaho,2022-08-01,0.74
Idaho,2022-09-01,0.97
Idaho,2022-10-01,0.01
Idaho,2022-11-01,0.95
Idaho,2022-12-01,0.99
Idaho,2023-01-01,0.5
Idaho,2023-02-01,0.38
Idaho,2023-03-01,0.79
Idaho,2023-04-01,0.0
Idaho,2023-05-01,0.48
Idaho,2023-06-01,0.2
Idaho,2023-07-01,0.26
Idaho,2023-08-01,0.64
Idaho,2023-09-01,0.17
Idaho,2023-10-01,0.81
Idaho,2023-11-01,0.9
Idaho,2023-12-01,0.73
Idaho,2024-01-01,0.97
Idaho,2024-02-01,0.58
Idaho,2024-03-01,0.35
Idaho,2024-04-01,0.14
Idaho,2024-05-01,0.32
Idaho,2024-06-01,0.16
Idaho,2024-07-01,0.81
Idaho,2024-08-01,0.87
Idaho,2024-09-01,0.24
Idaho,2024-10-01,0.25
Idaho,2024-11-01,0.73
Idaho,2024-12-01,0.3
Illinois,2020-01-01,0.02
Illinois,2020-02-01,0.62
Illinois,2020-03-01,0.94
Illinois,2020-04-01,0.18
Illinois,2020-05-01,0.33
Illinois,2020-06-01,0.57
Illinois,2020-07-01,0.38
Illinois,2020-08-01,0.26
Illinois,2020-09-01,0.02
Illinois,2020-10-01,0.17
Illinois,2020-11-01,0.64
Illinois,2020-12-01,0.16
Illinois,2021-01-01,0.64
Illinois,2021-02-01,0.73
Illinois,2021-03-01,0.04
Illinois,2021-04-01,0.56
Illinois,2021-05-01,0.11
Illinois,2021-06-01,0.9
Illinois,2021-07-01,0.24
Illinois,2021-08-01,0.71
Illinois,2021-09-01,0.25
Illinois,2021-10-01,0.49
Illinois,2021-11-01,0.47
Illinois,2021-12-01,0.79
Illinois,2022-01-01,0.82
Illinois,2022-02-01,0.63
Illinois,2022-03-01,0.67
Illinois,2022-04-01,0.56
Illinois,2022-05-01,0.25
Illinois,2022-06-01,0.96
Illinois,2022-07-01,0.87
Illinois,2022-08-01,0.11
Illinois,2022-09-01,0.75
Illinois,2022-10-01,0.65
Illinois,2022-11-01,1.0
Illinois,2022-12-01,0.4
Illinois,2023-01-01,0.17
Illinois,2023-02-01,0.04
Illinois,2023-03-01,0.02
Illinois,2023-04-01,0.67
Illinois,2023-05-01,0.95
Illinois,2023-06-01,0.8
Illinois,2023-07-01,0.54
Illinois,2023-08-01,0.89
Illinois,2023-09-01,0.36
Illinois,2023-10-01,0.49
Illinois,2023-11-01,0.94
Illinois,2023-12-01,0.44
Illinois,2024-01-01,0.75
Illinois,2024-02-01,0.67
Illinois,2024-03-01,0.08
Illinois,2024-04-01,0.76
Illinois,2024-05-01,0.77
Illinois,2024-06-01,0.25
Illinois,2024-07-01,0.56
Illinois,2024-08-01,0.17
Illinois,2024-09-01,0.5
Illinois,2024-10-01,0.08
Illinois,2024-11-01,0.35
Illinois,2024-12-01,0.34
Indiana,2020-01-01,0.81
Indiana,2020-02-01,0.38
Indiana,2020-03-01,0.78
Indiana,2020-04-01,0.92
Indiana,2020-05-01,0.11
Indiana,2020-06-01,0.72
Indiana,2020-07-01,0.52
Indiana,2020-08-01,0.01
Indiana,2020-09-01,0.59
Indiana,2020-10-01,0.05
Indiana,2020-11-01,0.55
Indiana,2020-12-01,0.56
Indiana,2021-01-01,0.19
Indiana,2021-02-01,0.39
Indiana,2021-03-01,0.65
Indiana,2021-04-01,0.27
Indiana,2021-05-01,0.25
Indiana,2021-06-01,0.43
Indiana,2021-07-01,0.52
Indiana,2021-08-01,0.63
Indiana,2021-09-01,0.43
Indiana,2021-10-01,0.66
Indiana,2021-11-01,0.3
Indiana,2021-12-01,0.45
Indiana,2022-01-01,0.25
Indiana,2022-02-01,0.89
Indiana,2022-03-01,0.89
Indiana,2022-04-01,0.96
Indiana,2022-05-01,0.27
Indiana,2022-06-01,0.62
Indiana,2022-07-01,0.98
Indiana,2022-08-01,0.83
Indiana,2022-09-01,0.31
Indiana,2022-10-01,0.01
Indiana,2022-11-01,0.08
Indiana,2022-12-01,0.21
Indiana,2023-01-01,0.53
Indiana,2023-02-01,0.97
Indiana,2023-03-01,0.77
Indiana,2023-04-01,0.19
Indiana,2023-05-01,0.21
Indiana,2023-06-01,0.15
Indiana,2023-07-01,0.29
Indiana,2023-08-01,0.04
Indiana,2023-09-01,0.35
Indiana,2023-10-01,0.47
Indiana,2023-11-01,0.0
Indiana,2023-12-01,0.71
Indiana,2024-01-01,0.89
Indiana,2024-02-01,0.06
Indiana,2024-03-01,0.77
Indiana,2024-04-01,0.98
Indiana,2024-05-01,0.39
Indiana,2024-06-01,0.82
Indiana,2024-07-01,0.92
Indiana,2024-08-01,0.89
Indiana,2024-09-01,0.03
Indiana,2024-10-01,0.02
Indiana,2024-11-01,0.52
Indiana,2024-12-01,0.86
Iowa,2020-01-01,0.34
Iowa,2020-02-01,0.37
Iowa,2020-03-01,0.62
Iowa,2020-04-01,0.64
Iowa,2020-05-01,0.69
Iowa,2020-06-01,0.58
Iowa,2020-07-01,0.94
Iowa,2020-08-01,0.03
Iowa,2020-09-01,0.51
Iowa,2020-10-01,0.85
Iowa,2020-11-01,0.35
Iowa,2020-12-01,0.55
Iowa,2021-01-01,0.15
Iowa,2021-02-01,0.17
Iowa,2021-03-01,0.94
Iowa,2021-04-01,0.47
Iowa,2021-05-01,0.98
Iowa,2021-06-01,0.23
Iowa,2021-07-01,0.0
Iowa,2021-08-01,0.87
Iowa,2021-09-01,0.98
Iowa,2021-10-01,0.87
Iowa,2021-11-01,0.37
Iowa,2021-12-01,0.72
Iowa,2022-01-01,0.41
Iowa,2022-02-01,0.25
Iowa,2022-03-01,0.03
Iowa,2022-04-01,0.43
Iowa,2022-05-01,0.07
Iowa,2022-06-01,0.95
Iowa,2022-07-01,0.42
Iowa,2022-08-01,0.84
Iowa,2022-09-01,0.99
Iowa,2022-10-01,0.92
Iowa,2022-11-01,0.95
Iowa,2022-12-01,0.44
Iowa,2023-01-01,0.72
Iowa,2023-02-01,0.09
