state,date,value,disease
Alabama,2024-09-01,0.53,Flu
Alabama,2024-10-01,0.39,Flu
Alabama,2024-11-01,0.75,Flu
Alabama,2024-12-01,0.66,Flu
Alaska,2020-01-01,0.02,Flu
Alaska,2020-02-01,0.5,Flu
Alaska,2020-03-01,0.18,Flu
Alaska,2020-04-01,0.57,Flu
Alaska,2020-05-01,0.89,Flu
Alaska,2020-06-01,0.18,Flu
Alaska,2020-07-01,0.96,Flu
Alaska,2020-08-01,0.05,Flu
Alaska,2020-09-01,0.62,Flu
Alaska,2020-10-01,0.61,Flu
Alaska,2020-11-01,0.91,Flu
Alaska,2020-12-01,0.49,Flu
Alaska,2021-01-01,0.41,Flu
Alaska,2021-02-01,0.12,Flu
Alaska,2021-03-01,0.79,Flu
Alaska,2021-04-01,0.45,Flu
Alaska,2021-05-01,0.56,Flu
Alaska,2021-06-01,0.47,Flu
Alaska,2021-07-01,0.95,Flu
Alaska,2021-08-01,0.73,Flu
Alaska,2021-09-01,0.67,Flu
Alaska,2021-10-01,0.96,Flu
Alaska,2021-11-01,0.72,Flu
Alaska,2021-12-01,0.97,Flu
Alaska,2022-01-01,0.99,Flu
Alaska,2022-02-01,0.28,Flu
Alaska,2022-03-01,0.48,Flu
Alaska,2022-04-01,0.84,Flu
Alaska,2022-05-01,0.8,Flu
Alaska,2022-06-01,0.89,Flu
Alaska,2022-07-01,0.16,Flu
Alaska,2022-08-01,0.69,Flu
Alaska,2022-09-01,0.97,Flu
Alaska,2022-10-01,0.97,Flu
Alaska,2022-11-01,0.7,Flu
Alaska,2022-12-01,0.46,Flu
Alaska,2023-01-01,0.35,Flu
Alaska,2023-02-01,0.05,Flu
Alaska,2023-03-01,0.78,Flu
Alaska,2023-04-01,0.42,Flu
Alaska,2023-05-01,0.95,Flu
Alaska,2023-06-01,0.86,Flu
Alaska,2023-07-01,0.72,Flu
Alaska,2023-08-01,0.74,Flu
Alaska,2023-09-01,0.32,Flu
Alaska,2023-10-01,0.79,Flu
Alaska,2023-11-01,0.32,Flu
Alaska,2023-12-01,0.77,Flu
Alaska,2024-01-01,0.71,Flu
Alaska,2024-02-01,0.53,Flu
Alaska,2024-03-01,0.03,Flu
Alaska,2024-04-01,0.68,Flu
Alaska,2024-05-01,0.08,Flu
Alaska,2024-06-01,0.15,Flu
Alaska,2024-07-01,0.8,Flu
Alaska,2024-08-01,0.67,Flu
Alaska,2024-09-01,0.87,Flu
Alaska,2024-10-01,0.17,Flu
Alaska,2024-11-01,0.78,Flu
Alaska,2024-12-01,0.41,Flu
Arizona,2020-01-01,0.43,Flu
Arizona,2020-02-01,0.78,Flu
Arizona,2020-03-01,0.19,Flu
Arizona,2020-04-01,0.72,Flu
Arizona,2020-05-01,0.85,Flu
Arizona,2020-06-01,0.27,Flu
Arizona,2020-07-01,0.63,Flu
Arizona,2020-08-01,0.9,Flu
Arizona,2020-09-01,0.13,Flu
Arizona,2020-10-01,0.7,Flu
Arizona,2020-11-01,0.85,Flu
Arizona,2020-12-01,0.33,Flu
Arizona,2021-01-01,0.43,Flu
Arizona,2021-02-01,0.03,Flu
Arizona,2021-03-01,0.82,Flu
Arizona,2021-04-01,0.45,Flu
Arizona,2021-05-01,0.13,Flu
Arizona,2021-06-01,0.86,Flu
Arizona,2021-07-01,0.59,Flu
Arizona,2021-08-01,0.34,Flu
Arizona,2021-09-01,0.54,Flu
Arizona,2021-10-01,0.71,Flu
Arizona,2021-11-01,0.24,Flu
Arizona,2021-12-01,0.82,Flu
Arizona,2022-01-01,0.61,Flu
Arizona,2022-02-01,0.63,Flu
Arizona,2022-03-01,0.67,Flu
Arizona,2022-04-01,0.54,Flu
Arizona,2022-05-01,0.17,Flu
Arizona,2022-06-01,0.54,Flu
Arizona,2022-07-01,0.34,Flu
Arizona,2022-08-01,0.58,Flu
Arizona,2022-09-01,0.98,Flu
Arizona,2022-10-01,0.99,Flu
Arizona,2022-11-01,0.38,Flu
Arizona,2022-12-01,0.15,Flu
Arizona,2023-01-01,0.69,Flu
Arizona,2023-02-01,0.56,Flu
Arizona,2023-03-01,0.89,Flu
Arizona,2023-04-01,0.82,Flu
Arizona,2023-05-01,0.45,Flu
Arizona,2023-06-01,0.09,Flu
Arizona,2023-07-01,0.21,Flu
Arizona,2023-08-01,0.42,Flu
Arizona,2023-09-01,0.62,Flu
Arizona,2023-10-01,0.65,Flu
Arizona,2023-11-01,0.54,Flu
Arizona,2023-12-01,0.3,Flu
Arizona,2024-01-01,0.5,Flu
Arizona,2024-02-01,0.23,Flu
Arizona,2024-03-01,0.1,Flu
Arizona,2024-04-01,0.87,Flu
Arizona,2024-05-01,0.82,Flu
Arizona,2024-06-01,0.18,Flu
Arizona,2024-07-01,0.55,Flu
Arizona,2024-08-01,0.01,Flu
Arizona,2024-09-01,0.65,Flu
Arizona,2024-10-01,0.05,Flu
Arizona,2024-11-01,0.59,Flu
Arizona,2024-12-01,0.54,Flu
Arkansas,2020-01-01,0.31,Flu
Arkansas,2020-02-01,0.31,Flu
Arkansas,2020-03-01,0.12,Flu
Arkansas,2020-04-01,0.21,Flu
Arkansas,2020-05-01,0.7,Flu
Arkansas,2020-06-01,0.06,Flu
Arkansas,2020-07-01,0.63,Flu
Arkansas,2020-08-01,0.46,Flu
Arkansas,2020-09-01,0.95,Flu
Arkansas,2020-10-01,0.66,Flu
Arkansas,2020-11-01,0.17,Flu
Arkansas,2020-12-01,0.95,Flu
Arkansas,2021-01-01,0.61,Flu
Arkansas,2021-02-01,0.57,Flu
Arkansas,2021-03-01,0.34,Flu
Arkansas,2021-04-01,0.88,Flu
Arkansas,2021-05-01,0.83,Flu
Arkansas,2021-06-01,0.45,Flu
Arkansas,2021-07-01,0.68,Flu
Arkansas,2021-08-01,0.23,Flu
Arkansas,2021-09-01,0.62,Flu
Arkansas,2021-10-01,0.77,Flu
Arkansas,2021-11-01,0.25,Flu
Arkansas,2021-12-01,0.78,Flu
Arkansas,2022-01-01,0.61,Flu
Arkansas,2022-02-01,0.75,Flu
Arkansas,2022-03-01,0.62,Flu
Arkansas,2022-04-01,0.99,Flu
Arkansas,2022-05-01,0.14,Flu
Arkansas,2022-06-01,0.65,Flu
Arkansas,2022-07-01,0.66,Flu
Arkansas,2022-08-01,0.76,Flu
Arkansas,2022-09-01,0.89,Flu
Arkansas,2022-10-01,0.02,Flu
Arkansas,2022-11-01,0.04,Flu
Arkansas,2022-12-01,0.12,Flu
Arkansas,2023-01-01,0.59,Flu
Arkansas,2023-02-01,0.54,Flu
Arkansas,2023-03-01,0.71,Flu
Arkansas,2023-04-01,0.35,Flu
Arkansas,2023-05-01,0.67,Flu
Arkansas,2023-06-01,0.69,Flu
Arkansas,2023-07-01,0.08,Flu
Arkansas,2023-08-01,0.79,Flu
Arkansas,2023-09-01,0.94,Flu
Arkansas,2023-10-01,0.77,Flu
Arkansas,2023-11-01,0.3,Flu
Arkansas,2023-12-01,0.02,Flu
Arkansas,2024-01-01,0.69,Flu
Arkansas,2024-02-01,0.18,Flu
Arkansas,2024-03-01,0.98,Flu
Arkansas,2024-04-01,0.6,Flu
Arkansas,2024-05-01,0.17,Flu
Arkansas,2024-06-01,0.45,Flu
Arkansas,2024-07-01,0.25,Flu
Arkansas,2024-08-01,0.25,Flu
Arkansas,2024-09-01,0.27,Flu
Arkansas,2024-10-01,0.9,Flu
Arkansas,2024-11-01,0.35,Flu
Arkansas,2024-12-01,0.69,Flu
California,2020-01-01,0.77,Flu
California,2020-02-01,0.64,Flu
California,2020-03-01,0.71,Flu
California,2020-04-01,0.15,Flu
California,2020-05-01,0.63,Flu
California,2020-06-01,0.27,Flu
California,2020-07-01,0.92,Flu
California,2020-08-01,0.47,Flu
California,2020-09-01,0.74,Flu
California,2020-10-01,0.86,Flu
California,2020-11-01,0.4,Flu
California,2020-12-01,0.51,Flu
California,2021-01-01,0.69,Flu
California,2021-02-01,0.4,Flu
California,2021-03-01,0.06,Flu
California,2021-04-01,0.01,Flu
California,2021-05-01,0.41,Flu
California,2021-06-01,0.28,Flu
California,2021-07-01,0.66,Flu
California,2021-08-01,0.66,Flu
California,2021-09-01,0.94,Flu
California,2021-10-01,0.73,Flu
California,2021-11-01,0.3,Flu
California,2021-12-01,0.6,Flu
California,2022-01-01,0.63,Flu
California,2022-02-01,0.09,Flu
California,2022-03-01,0.41,Flu
California,2022-04-01,0.95,Flu
California,2022-05-01,0.77,Flu
California,2022-06-01,0.85,Flu
California,2022-07-01,0.62,Flu
California,2022-08-01,0.7,Flu
California,2022-09-01,0.27,Flu
California,2022-10-01,0.09,Flu
California,2022-11-01,0.96,Flu
California,2022-12-01,0.95,Flu
California,2023-01-01,0.45,Flu
California,2023-02-01,0.15,Flu
California,2023-03-01,0.01,Flu
California,2023-04-01,0.92,Flu
California,2023-05-01,0.82,Flu
California,2023-06-01,0.52,Flu
California,2023-07-01,0.06,Flu
California,2023-08-01,0.3,Flu
California,2023-09-01,0.16,Flu
California,2023-10-01,0.67,Flu
California,2023-11-01,0.01,Flu
California,2023-12-01,0.58,Flu
California,2024-01-01,0.72,Flu
California,2024-02-01,0.39,Flu
California,2024-03-01,0.08,Flu
California,2024-04-01,0.85,Flu
California,2024-05-01,0.7,Flu
California,2024-06-01,0.4,Flu
California,2024-07-01,0.52,Flu
California,2024-08-01,0.07,Flu
California,2024-09-01,0.02,Flu
California,2024-10-01,0.84,Flu
California,2024-11-01,0.03,Flu
California,2024-12-01,0.64,Flu
Colorado,2020-01-01,0.55,Flu
Colorado,2020-02-01,0.68,Flu
Colorado,2020-03-01,0.58,Flu
Colorado,2020-04-01,0.05,Flu
Colorado,2020-05-01,0.37,Flu
Colorado,2020-06-01,0.04,Flu
Colorado,2020-07-01,0.07,Flu
Colorado,2020-08-01,0.24,Flu
Colorado,2020-09-01,0.2,Flu
Colorado,2020-10-01,0.11,Flu
Colorado,2020-11-01,0.28,Flu
Colorado,2020-12-01,0.9,Flu
Colorado,2021-01-01,0.97,Flu
Colorado,2021-02-01,0.33,Flu
Colorado,2021-03-01,0.06,Flu
Colorado,2021-04-01,0.53,Flu
Colorado,2021-05-01,0.58,Flu
Colorado,2021-06-01,0.96,Flu
Colorado,2021-07-01,0.98,Flu
Colorado,2021-08-01,0.47,Flu
Colorado,2021-09-01,0.99,Flu
Colorado,2021-10-01,0.12,Flu
Colorado,2021-11-01,0.41,Flu
Colorado,2021-12-01,0.35,Flu
Colorado,2022-01-01,0.12,Flu
Colorado,2022-02-01,0.85,Flu
Colorado,2022-03-01,0.28,Flu
Colorado,2022-04-01,0.34,Flu
Colorado,2022-05-01,0.05,Flu
Colorado,2022-06-01,0.41,Flu
Colorado,2022-07-01,0.52,Flu
Colorado,2022-08-01,0.19,Flu
Colorado,2022-09-01,0.39,Flu
Colorado,2022-10-01,0.91,Flu
Colorado,2022-11-01,0.58,Flu
Colorado,2022-12-01,0.27,Flu
Colorado,2023-01-01,0.02,Flu
Colorado,2023-02-01,0.95,Flu
Colorado,2023-03-01,0.65,Flu
Colorado,2023-04-01,0.37,Flu
Colorado,2023-05-01,0.59,Flu
Colorado,2023-06-01,0.61,Flu
Colorado,2023-07-01,0.5,Flu
Colorado,2023-08-01,0.79,Flu
Colorado,2023-09-01,0.55,Flu
Colorado,2023-10-01,0.89,Flu
Colorado,2023-11-01,0.46,Flu
Colorado,2023-12-01,0.27,Flu
Colorado,2024-01-01,0.58,Flu
Colorado,2024-02-01,0.03,Flu
Colorado,2024-03-01,0.26,Flu
Colorado,2024-04-01,0.76,Flu
Colorado,2024-05-01,0.45,Flu
Colorado,2024-06-01,0.36,Flu
Colorado,2024-07-01,0.02,Flu
Colorado,2024-08-01,0.21,Flu
Colorado,2024-09-01,0.26,Flu
Colorado,2024-10-01,0.84,Flu
Colorado,2024-11-01,0.78,Flu
Colorado,2024-12-01,0.77,Flu
Connecticut,2020-01-01,0.4,Flu
Connecticut,2020-02-01,0.63,Flu
Connecticut,2020-03-01,0.93,Flu
Connecticut,2020-04-01,0.34,Flu
Connecticut,2020-05-01,0.76,Flu
Connecticut,2020-06-01,0.04,Flu
Connecticut,2020-07-01,0.93,Flu
Connecticut,2020-08-01,0.11,Flu
Connecticut,2020-09-01,0.73,Flu
Connecticut,2020-10-01,0.94,Flu
Connecticut,2020-11-01,0.18,Flu
Connecticut,2020-12-01,0.99,Flu
Connecticut,2021-01-01,0.5,Flu
Connecticut,2021-02-01,0.88,Flu
Connecticut,2021-03-01,0.99,Flu
Connecticut,2021-04-01,0.15,Flu
Connecticut,2021-05-01,0.12,Flu
Connecticut,2021-06-01,0.1,Flu
Connecticut,2021-07-01,0.81,Flu
Connecticut,2021-08-01,0.92,Flu
Connecticut,2021-09-01,0.01,Flu
Connecticut,2021-10-01,0.89,Flu
Connecticut,2021-11-01,0.63,Flu
Connecticut,2021-12-01,0.07,Flu
Connecticut,2022-01-01,0.41,Flu
Connecticut,2022-02-01,0.7,Flu
Connecticut,2022-03-01,0.73,Flu
Connecticut,2022-04-01,0.3,Flu
Connecticut,2022-05-01,0.47,Flu
Connecticut,2022-06-01,0.9,Flu
Connecticut,2022-07-01,0.96,Flu
Connecticut,2022-08-01,0.5,Flu
Connecticut,2022-09-01,0.03,Flu
Connecticut,2022-10-01,0.82,Flu
Connecticut,2022-11-01,0.62,Flu
Connecticut,2022-12-01,0.78,Flu
Connecticut,2023-01-01,0.84,Flu
Connecticut,2023-02-01,0.91,Flu
Connecticut,2023-03-01,0.36,Flu
Connecticut,2023-04-01,0.16,Flu
Connecticut,2023-05-01,0.02,Flu
Connecticut,2023-06-01,0.22,Flu
Connecticut,2023-07-01,0.82,Flu
Connecticut,2023-08-01,0.99,Flu
Connecticut,2023-09-01,0.43,Flu
Connecticut,2023-10-01,0.06,Flu
Connecticut,2023-11-01,0.35,Flu
Connecticut,2023-12-01,0.18,Flu
Connecticut,2024-01-01,0.02,Flu
Connecticut,2024-02-01,0.16,Flu
Connecticut,2024-03-01,0.63,Flu
Connecticut,2024-04-01,0.36,Flu
Connecticut,2024-05-01,0.09,Flu
Connecticut,2024-06-01,0.17,Flu
Connecticut,2024-07-01,0.73,Flu
Connecticut,2024-08-01,0.28,Flu
Connecticut,2024-09-01,0.83,Flu
Connecticut,2024-10-01,0.29,Flu
Connecticut,2024-11-01,0.56,Flu
Connecticut,2024-12-01,0.05,Flu
Delaware,2020-01-01,0.04,Flu
Delaware,2020-02-01,0.88,Flu
Delaware,2020-03-01,0.15,Flu
Delaware,2020-04-01,0.96,Flu
Delaware,2020-05-01,0.07,Flu
Delaware,2020-06-01,0.63,Flu
Delaware,2020-07-01,0.91,Flu
Delaware,2020-08-01,0.97,Flu
Delaware,2020-09-01,0.43,Flu
Delaware,2020-10-01,0.4,Flu
Delaware,2020-11-01,0.92,Flu
Delaware,2020-12-01,0.76,Flu
Delaware,2021-01-01,0.06,Flu
Delaware,2021-02-01,0.45,Flu
Delaware,2021-03-01,0.91,Flu
Delaware,2021-04-01,0.93,Flu
Delaware,2021-05-01,0.4,Flu
Delaware,2021-06-01,0.97,Flu
Delaware,2021-07-01,0.75,Flu
Delaware,2021-08-01,0.0,Flu
Delaware,2021-09-01,0.56,Flu
Delaware,2021-10-01,0.14,Flu
Delaware,2021-11-01,0.62,Flu
Delaware,2021-12-01,0.87,Flu
Delaware,2022-01-01,0.18,Flu
Delaware,2022-02-01,0.1,Flu
Delaware,2022-03-01,0.84,Flu
Delaware,2022-04-01,0.2,Flu
Delaware,2022-05-01,0.12,Flu
Delaware,2022-06-01,0.18,Flu
Delaware,2022-07-01,0.71,Flu
Delaware,2022-08-01,0.66,Flu
Delaware,2022-09-01,0.0,Flu
Delaware,2022-10-01,0.61,Flu
Delaware,2022-11-01,0.5,Flu
Delaware,2022-12-01,0.15,Flu
Delaware,2023-01-01,0.46,Flu
Delaware,2023-02-01,0.2,Flu
Delaware,2023-03-01,0.38,Flu
Delaware,2023-04-01,0.13,Flu
Delaware,2023-05-01,0.25,Flu
Delaware,2023-06-01,0.17,Flu
Delaware,2023-07-01,0.96,Flu
Delaware,2023-08-01,0.57,Flu
Delaware,2023-09-01,0.78,Flu
Delaware,2023-10-01,0.26,Flu
Delaware,2023-11-01,0.65,Flu
Delaware,2023-12-01,0.03,Flu
Delaware,2024-01-01,0.21,Flu
Delaware,2024-02-01,0.04,Flu
Delaware,2024-03-01,0.41,Flu
Delaware,2024-04-01,0.45,Flu
Delaware,2024-05-01,0.82,Flu
Delaware,2024-06-01,0.04,Flu
Delaware,2024-07-01,0.02,Flu
Delaware,2024-08-01,0.08,Flu
Delaware,2024-09-01,0.34,Flu
Delaware,2024-10-01,0.53,Flu
Delaware,2024-11-01,0.66,Flu
Delaware,2024-12-01,0.96,Flu
Florida,2020-01-01,0.12,Flu
Florida,2020-02-01,0.38,Flu
Florida,2020-03-01,0.72,Flu
Florida,2020-04-01,0.29,Flu
Florida,2020-05-01,0.2,Flu
Florida,2020-06-01,0.48,Flu
Florida,2020-07-01,0.79,Flu
Florida,2020-08-01,0.49,Flu
Florida,2020-09-01,0.87,Flu
Florida,2020-10-01,0.93,Flu
Florida,2020-11-01,0.16,Flu
Florida,2020-12-01,0.93,Flu
Florida,2021-01-01,0.99,Flu
Florida,2021-02-01,0.54,Flu
Florida,2021-03-01,0.31,Flu
Florida,2021-04-01,0.23,Flu
Florida,2021-05-01,0.12,Flu
Florida,2021-06-01,0.53,Flu
Florida,2021-07-01,0.66,Flu
Florida,2021-08-01,0.22,Flu
Florida,2021-09-01,0.01,Flu
Florida,2021-10-01,0.41,Flu
Florida,2021-11-01,0.43,Flu
Florida,2021-12-01,1.0,Flu
Florida,2022-01-01,0.38,Flu
Florida,2022-02-01,0.23,Flu
Florida,2022-03-01,0.39,Flu
Florida,2022-04-01,0.64,Flu
Florida,2022-05-01,0.1,Flu
Florida,2022-06-01,0.58,Flu
Florida,2022-07-01,0.61,Flu
Florida,2022-08-01,0.49,Flu
Florida,2022-09-01,0.66,Flu
Florida,2022-10-01,0.99,Flu
Florida,2022-11-01,0.49,Flu
Florida,2022-12-01,0.23,Flu
Florida,2023-01-01,0.63,Flu
Florida,2023-02-01,0.49,Flu
Florida,2023-03-01,0.64,Flu
Florida,2023-04-01,0.77,Flu
Florida,2023-05-01,0.04,Flu
Florida,2023-06-01,0.37,Flu
Florida,2023-07-01,0.24,Flu
Florida,2023-08-01,0.43,Flu
Florida,2023-09-01,0.46,Flu
Florida,2023-10-01,0.46,Flu
Florida,2023-11-01,0.76,Flu
Florida,2023-12-01,0.77,Flu
Florida,2024-01-01,0.66,Flu
Florida,2024-02-01,0.46,Flu
Florida,2024-03-01,0.24,Flu
Florida,2024-04-01,0.71,Flu
Florida,2024-05-01,0.82,Flu
Florida,2024-06-01,0.27,Flu
Florida,2024-07-01,0.23,Flu
Florida,2024-08-01,0.85,Flu
Florida,2024-09-01,0.05,Flu
Florida,2024-10-01,0.11,Flu
Florida,2024-11-01,0.74,Flu
Florida,2024-12-01,0.27,Flu
Georgia,2020-01-01,0.11,Flu
Georgia,2020-02-01,0.63,Flu
Georgia,2020-03-01,0.24,Flu
Georgia,2020-04-01,0.18,Flu
Georgia,2020-05-01,0.82,Flu
Georgia,2020-06-01,0.46,Flu
Georgia,2020-07-01,0.33,Flu
Georgia,2020-08-01,0.16,Flu
Georgia,2020-09-01,0.09,Flu
Georgia,2020-10-01,0.95,Flu
Georgia,2020-11-01,0.4,Flu
Georgia,2020-12-01,0.36,Flu
Georgia,2021-01-01,0.82,Flu
Georgia,2021-02-01,0.04,Flu
Georgia,2021-03-01,0.87,Flu
Georgia,2021-04-01,0.61,Flu
Georgia,2021-05-01,0.25,Flu
Georgia,2021-06-01,0.8,Flu
Georgia,2021-07-01,0.72,Flu
Georgia,2021-08-01,0.17,Flu
Georgia,2021-09-01,0.34,Flu
Georgia,2021-10-01,0.38,Flu
Georgia,2021-11-01,0.66,Flu
Georgia,2021-12-01,0.32,Flu
Georgia,2022-01-01,0.47,Flu
Georgia,2022-02-01,0.25,Flu
Georgia,2022-03-01,0.87,Flu
Georgia,2022-04-01,0.08,Flu
Georgia,2022-05-01,0.57,Flu
Georgia,2022-06-01,0.51,Flu
Georgia,2022-07-01,0.04,Flu
Georgia,2022-08-01,0.14,Flu
Georgia,2022-09-01,0.32,Flu
Georgia,2022-10-01,0.99,Flu
Georgia,2022-11-01,0.21,Flu
Georgia,2022-12-01,0.41,Flu
Georgia,2023-01-01,0.14,Flu
Georgia,2023-02-01,0.56,Flu
Georgia,2023-03-01,0.57,Flu
Georgia,2023-04-01,0.05,Flu
Georgia,2023-05-01,0.42,Flu
Georgia,2023-06-01,0.42,Flu
Georgia,2023-07-01,0.0,Flu
Georgia,2023-08-01,0.35,Flu
Georgia,2023-09-01,0.03,Flu
Georgia,2023-10-01,0.54,Flu
Georgia,2023-11-01,0.1,Flu
Georgia,2023-12-01,0.84,Flu
Georgia,2024-01-01,0.71,Flu
Georgia,2024-02-01,0.76,Flu
Georgia,2024-03-01,0.51,Flu
Georgia,2024-04-01,0.42,Flu
Georgia,2024-05-01,0.24,Flu
Georgia,2024-06-01,0.56,Flu
Georgia,2024-07-01,0.63,Flu
Georgia,2024-08-01,0.69,Flu
Georgia,2024-09-01,0.52,Flu
Georgia,2024-10-01,0.88,Flu
Georgia,2024-11-01,0.5,Flu
Georgia,2024-12-01,0.84,Flu
Hawaii,2020-01-01,0.47,Flu
Hawaii,2020-02-01,0.43,Flu
Hawaii,2020-03-01,0.0,Flu
Hawaii,2020-04-01,0.2,Flu
Hawaii,2020-05-01,0.54,Flu
Hawaii,2020-06-01,0.51,Flu
Hawaii,2020-07-01,0.29,Flu
Hawaii,2020-08-01,0.67,Flu
Hawaii,2020-09-01,0.65,Flu
Hawaii,2020-10-01,0.91,Flu
Hawaii,2020-11-01,0.28,Flu
Hawaii,2020-12-01,0.2,Flu
Hawaii,2021-01-01,0.62,Flu
Hawaii,2021-02-01,0.85,Flu
Hawaii,2021-03-01,0.17,Flu
Hawaii,2021-04-01,0.55,Flu
Hawaii,2021-05-01,0.69,Flu
Hawaii,2021-06-01,0.65,Flu
Hawaii,2021-07-01,0.87,Flu
Hawaii,2021-08-01,0.61,Flu
Hawaii,2021-09-01,0.29,Flu
Hawaii,2021-10-01,0.07,Flu
Hawaii,2021-11-01,0.42,Flu
Hawaii,2021-12-01,0.93,Flu
Hawaii,2022-01-01,0.19,Flu
Hawaii,2022-02-01,0.51,Flu
Hawaii,2022-03-01,0.19,Flu
Hawaii,2022-04-01,0.31,Flu
Hawaii,2022-05-01,0.97,Flu
Hawaii,2022-06-01,0.3,Flu
Hawaii,2022-07-01,0.27,Flu
Hawaii,2022-08-01,0.46,Flu
Hawaii,2022-09-01,0.74,Flu
Hawaii,2022-10-01,0.3,Flu
Hawaii,2022-11-01,0.53,Flu
Hawaii,2022-12-01,0.72,Flu
Hawaii,2023-01-01,0.42,Flu
Hawaii,2023-02-01,0.49,Flu
Hawaii,2023-03-01,0.17,Flu
Hawaii,2023-04-01,0.4,Flu
Hawaii,2023-05-01,0.87,Flu
Hawaii,2023-06-01,0.0,Flu
Hawaii,2023-07-01,0.39,Flu
Hawaii,2023-08-01,0.01,Flu
Hawaii,2023-09-01,0.96,Flu
Hawaii,2023-10-01,0.13,Flu
Hawaii,2023-11-01,0.87,Flu
Hawaii,2023-12-01,0.19,Flu
Hawaii,2024-01-01,0.58,Flu
Hawaii,2024-02-01,0.6,Flu
Hawaii,2024-03-01,0.41,Flu
Hawaii,2024-04-01,0.66,Flu
Hawaii,2024-05-01,0.84,Flu
Hawaii,2024-06-01,0.48,Flu
Hawaii,2024-07-01,0.37,Flu
Hawaii,2024-08-01,0.95,Flu
Hawaii,2024-09-01,0.53,Flu
Hawaii,2024-10-01,0.86,Flu
Hawaii,2024-11-01,0.55,Flu
Hawaii,2024-12-01,0.78,Flu
Idaho,2020-01-01,0.75,Flu
Idaho,2020-02-01,0.74,Flu
Idaho,2020-03-01,0.15,Flu
Idaho,2020-04-01,0.43,Flu
Idaho,2020-05-01,0.54,Flu
Idaho,2020-06-01,0.9,Flu
Idaho,2020-07-01,0.22,Flu
Idaho,2020-08-01,0.28,Flu
Idaho,2020-09-01,0.54,Flu
Idaho,2020-10-01,0.5,Flu
Idaho,2020-11-01,0.22,Flu
Idaho,2020-12-01,0.46,Flu
Idaho,2021-01-01,0.59,Flu
Idaho,2021-02-01,0.09,Flu
Idaho,2021-03-01,0.08,Flu
Idaho,2021-04-01,0.34,Flu
Idaho,2021-05-01,0.03,Flu
Idaho,2021-06-01,0.86,Flu
Idaho,2021-07-01,0.58,Flu
Idaho,2021-08-01,0.67,Flu
Idaho,2021-09-01,0.99,Flu
Idaho,2021-10-01,0.38,Flu
Idaho,2021-11-01,0.62,Flu
Idaho,2021-12-01,0.1,Flu
Idaho,2022-01-01,0.02,Flu
Idaho,2022-02-01,0.97,Flu
Idaho,2022-03-01,0.94,Flu
Idaho,2022-04-01,0.63,Flu
Idaho,2022-05-01,0.68,Flu
Idaho,2022-06-01,0.23,Flu
Idaho,2022-07-01,0.62,Flu
Idaho,2022-08-01,0.35,Flu
Idaho,2022-09-01,0.88,Flu
Idaho,2022-10-01,0.9,Flu
Idaho,2022-11-01,0.14,Flu
Idaho,2022-12-01,0.68,Flu
Idaho,2023-01-01,0.29,Flu
Idaho,2023-02-01,0.59,Flu
Idaho,2023-03-01,0.45,Flu
Idaho,2023-04-01,0.03,Flu
Idaho,2023-05-01,0.98,Flu
Idaho,2023-06-01,0.03,Flu
