state,disease,date,value
Alabama,Covid,2020-10-01,51.99
Alabama,Covid,2020-11-01,73.96
Alabama,Covid,2020-12-01,61.23
Alabama,Covid,2021-01-01,54.84
Alabama,Covid,2021-02-01,79.23
Alabama,Covid,2021-03-01,82.12
Alabama,Covid,2021-04-01,77.93
Alabama,Covid,2021-05-01,73.87
Alabama,Covid,2021-06-01,67.34
Alabama,Covid,2021-07-01,77.11
Alabama,Covid,2021-08-01,75.11
Alabama,Covid,2021-09-01,60.44
Alabama,Covid,2021-10-01,55.99
Alabama,Covid,2021-11-01,79.91
Alabama,Covid,2021-12-01,60.88
Alabama,Covid,2022-01-01,76.23
Alabama,Covid,2022-02-01,78.14
Alabama,Covid,2022-03-01,66.12
Alabama,Covid,2022-04-01,69.79
Alabama,Covid,2022-05-01,65.0
Alabama,Covid,2022-06-01,79.19
Alabama,Covid,2022-07-01,82.85
Alabama,Covid,2022-08-01,53.99
Alabama,Covid,2022-09-01,58.73
Alabama,Covid,2022-10-01,65.15
Alabama,Covid,2022-11-01,52.8
Alabama,Covid,2022-12-01,42.1
Alabama,Covid,2023-01-01,80.68
Alabama,Covid,2023-02-01,92.95
Alabama,Covid,2023-03-01,75.5
Alabama,Covid,2023-04-01,89.68
Alabama,Covid,2023-05-01,68.76
Alabama,Covid,2023-06-01,94.96
Alabama,Covid,2023-07-01,96.74
Alabama,Covid,2023-08-01,81.78
Alabama,Covid,2023-09-01,58.23
Alabama,Covid,2023-10-01,64.34
Alabama,Covid,2023-11-01,67.01
Alabama,Covid,2023-12-01,53.22
Alabama,Covid,2024-01-01,56.13
Alabama,Covid,2024-02-01,74.39
Alabama,Covid,2024-03-01,74.97
Alabama,Covid,2024-04-01,79.57
Alabama,Covid,2024-05-01,74.52
Alabama,Covid,2024-06-01,68.19
Alabama,Covid,2024-07-01,58.03
Alabama,Covid,2024-08-01,67.05
Alabama,Covid,2024-09-01,71.37
Alabama,Covid,2024-10-01,55.81
Alabama,Covid,2024-11-01,85.76
Alabama,Covid,2024-12-01,62.83
Alaska,Flu,2020-01-01,60.56
Alaska,Flu,2020-02-01,72.2
Alaska,Flu,2020-03-01,73.2
Alaska,Flu,2020-04-01,48.16
Alaska,Flu,2020-05-01,86.26
Alaska,Flu,2020-06-01,73.0
Alaska,Flu,2020-07-01,62.87
Alaska,Flu,2020-08-01,62.94
Alaska,Flu,2020-09-01,60.17
Alaska,Flu,2020-10-01,48.86
Alaska,Flu,2020-11-01,70.58
Alaska,Flu,2020-12-01,60.0
Alaska,Flu,2021-01-01,67.19
Alaska,Flu,2021-02-01,94.57
Alaska,Flu,2021-03-01,68.14
Alaska,Flu,2021-04-01,64.12
Alaska,Flu,2021-05-01,81.91
Alaska,Flu,2021-06-01,80.14
Alaska,Flu,2021-07-01,78.26
Alaska,Flu,2021-08-01,71.1
Alaska,Flu,2021-09-01,64.64
Alaska,Flu,2021-10-01,64.93
Alaska,Flu,2021-11-01,59.99
Alaska,Flu,2021-12-01,65.72
Alaska,Flu,2022-01-01,79.65
Alaska,Flu,2022-02-01,74.57
Alaska,Flu,2022-03-01,78.87
Alaska,Flu,2022-04-01,85.37
Alaska,Flu,2022-05-01,70.51
Alaska,Flu,2022-06-01,89.16
Alaska,Flu,2022-07-01,61.95
Alaska,Flu,2022-08-01,66.7
Alaska,Flu,2022-09-01,62.7
Alaska,Flu,2022-10-01,72.97
Alaska,Flu,2022-11-01,78.56
Alaska,Flu,2022-12-01,66.03
Alaska,Flu,2023-01-01,82.13
Alaska,Flu,2023-02-01,96.97
Alaska,Flu,2023-03-01,59.52
Alaska,Flu,2023-04-01,80.43
Alaska,Flu,2023-05-01,82.24
Alaska,Flu,2023-06-01,85.92
Alaska,Flu,2023-07-01,79.11
Alaska,Flu,2023-08-01,74.71
Alaska,Flu,2023-09-01,66.75
Alaska,Flu,2023-10-01,72.71
Alaska,Flu,2023-11-01,77.27
Alaska,Flu,2023-12-01,89.42
Alaska,Flu,2024-01-01,85.91
Alaska,Flu,2024-02-01,90.74
Alaska,Flu,2024-03-01,90.43
Alaska,Flu,2024-04-01,94.74
Alaska,Flu,2024-05-01,77.08
Alaska,Flu,2024-06-01,96.3
Alaska,Flu,2024-07-01,90.82
Alaska,Flu,2024-08-01,95.33
Alaska,Flu,2024-09-01,76.57
Alaska,Flu,2024-10-01,87.56
Alaska,Flu,2024-11-01,75.9
Alaska,Flu,2024-12-01,88.27
Alaska,Covid,2020-01-01,71.88
Alaska,Covid,2020-02-01,60.7
Alaska,Covid,2020-03-01,79.52
Alaska,Covid,2020-04-01,71.07
Alaska,Covid,2020-05-01,63.17
Alaska,Covid,2020-06-01,81.97
Alaska,Covid,2020-07-01,65.85
Alaska,Covid,2020-08-01,66.56
Alaska,Covid,2020-09-01,77.08
Alaska,Covid,2020-10-01,92.1
Alaska,Covid,2020-11-01,70.0
Alaska,Covid,2020-12-01,72.25
Alaska,Covid,2021-01-01,68.64
Alaska,Covid,2021-02-01,92.09
Alaska,Covid,2021-03-01,77.24
Alaska,Covid,2021-04-01,106.98
Alaska,Covid,2021-05-01,94.17
Alaska,Covid,2021-06-01,67.95
Alaska,Covid,2021-07-01,72.22
Alaska,Covid,2021-08-01,52.7
Alaska,Covid,2021-09-01,72.72
Alaska,Covid,2021-10-01,82.34
Alaska,Covid,2021-11-01,90.68
Alaska,Covid,2021-12-01,64.69
Alaska,Covid,2022-01-01,94.14
Alaska,Covid,2022-02-01,75.75
Alaska,Covid,2022-03-01,98.33
Alaska,Covid,2022-04-01,96.22
Alaska,Covid,2022-05-01,66.21
Alaska,Covid,2022-06-01,81.67
Alaska,Covid,2022-07-01,92.5
Alaska,Covid,2022-08-01,85.55
Alaska,Covid,2022-09-01,66.91
Alaska,Covid,2022-10-01,68.5
Alaska,Covid,2022-11-01,68.64
Alaska,Covid,2022-12-01,90.03
Alaska,Covid,2023-01-01,76.83
Alaska,Covid,2023-02-01,98.06
Alaska,Covid,2023-03-01,80.78
Alaska,Covid,2023-04-01,89.8
Alaska,Covid,2023-05-01,93.96
Alaska,Covid,2023-06-01,80.08
Alaska,Covid,2023-07-01,84.86
Alaska,Covid,2023-08-01,68.07
Alaska,Covid,2023-09-01,68.77
Alaska,Covid,2023-10-01,80.87
Alaska,Covid,2023-11-01,76.57
Alaska,Covid,2023-12-01,65.92
Alaska,Covid,2024-01-01,86.52
Alaska,Covid,2024-02-01,94.07
Alaska,Covid,2024-03-01,94.74
Alaska,Covid,2024-04-01,93.08
Alaska,Covid,2024-05-01,90.56
Alaska,Covid,2024-06-01,80.25
Alaska,Covid,2024-07-01,77.03
Alaska,Covid,2024-08-01,80.47
Alaska,Covid,2024-09-01,79.49
Alaska,Covid,2024-10-01,79.69
Alaska,Covid,2024-11-01,70.47
Alaska,Covid,2024-12-01,70.6
Arizona,Flu,2020-01-01,72.41
Arizona,Flu,2020-02-01,59.46
Arizona,Flu,2020-03-01,71.99
Arizona,Flu,2020-04-01,47.89
Arizona,Flu,2020-05-01,53.39
Arizona,Flu,2020-06-01,74.02
Arizona,Flu,2020-07-01,59.46
Arizona,Flu,2020-08-01,87.24
Arizona,Flu,2020-09-01,57.13
Arizona,Flu,2020-10-01,65.69
Arizona,Flu,2020-11-01,78.77
Arizona,Flu,2020-12-01,70.67
Arizona,Flu,2021-01-01,52.32
Arizona,Flu,2021-02-01,53.91
Arizona,Flu,2021-03-01,63.38
Arizona,Flu,2021-04-01,79.04
Arizona,Flu,2021-05-01,63.47
Arizona,Flu,2021-06-01,77.9
Arizona,Flu,2021-07-01,49.69
Arizona,Flu,2021-08-01,56.18
Arizona,Flu,2021-09-01,63.68
Arizona,Flu,2021-10-01,49.75
Arizona,Flu,2021-11-01,56.65
Arizona,Flu,2021-12-01,49.29
Arizona,Flu,2022-01-01,72.06
Arizona,Flu,2022-02-01,68.22
Arizona,Flu,2022-03-01,73.15
Arizona,Flu,2022-04-01,85.14
Arizona,Flu,2022-05-01,62.6
Arizona,Flu,2022-06-01,70.46
Arizona,Flu,2022-07-01,86.02
Arizona,Flu,2022-08-01,56.72
Arizona,Flu,2022-09-01,63.29
Arizona,Flu,2022-10-01,50.82
Arizona,Flu,2022-11-01,57.26
Arizona,Flu,2022-12-01,64.69
Arizona,Flu,2023-01-01,73.75
Arizona,Flu,2023-02-01,85.09
Arizona,Flu,2023-03-01,84.87
Arizona,Flu,2023-04-01,99.01
Arizona,Flu,2023-05-01,73.78
Arizona,Flu,2023-06-01,82.59
Arizona,Flu,2023-07-01,81.64
Arizona,Flu,2023-08-01,68.35
Arizona,Flu,2023-09-01,72.41
Arizona,Flu,2023-10-01,59.5
Arizona,Flu,2023-11-01,64.14
Arizona,Flu,2023-12-01,70.75
Arizona,Flu,2024-01-01,70.06
Arizona,Flu,2024-02-01,75.44
Arizona,Flu,2024-03-01,106.39
Arizona,Flu,2024-04-01,90.67
Arizona,Flu,2024-05-01,73.37
Arizona,Flu,2024-06-01,83.87
Arizona,Flu,2024-07-01,102.52
Arizona,Flu,2024-08-01,53.32
Arizona,Flu,2024-09-01,83.08
Arizona,Flu,2024-10-01,62.67
Arizona,Flu,2024-11-01,81.38
Arizona,Flu,2024-12-01,80.18
Arizona,Covid,2020-01-01,61.2
Arizona,Covid,2020-02-01,67.35
Arizona,Covid,2020-03-01,64.8
Arizona,Covid,2020-04-01,80.02
Arizona,Covid,2020-05-01,69.29
Arizona,Covid,2020-06-01,79.46
Arizona,Covid,2020-07-01,64.53
Arizona,Covid,2020-08-01,55.89
Arizona,Covid,2020-09-01,40.75
Arizona,Covid,2020-10-01,41.34
Arizona,Covid,2020-11-01,48.18
Arizona,Covid,2020-12-01,72.1
Arizona,Covid,2021-01-01,67.06
Arizona,Covid,2021-02-01,61.05
Arizona,Covid,2021-03-01,59.69
Arizona,Covid,2021-04-01,84.35
Arizona,Covid,2021-05-01,84.65
Arizona,Covid,2021-06-01,75.07
Arizona,Covid,2021-07-01,41.51
Arizona,Covid,2021-08-01,52.03
Arizona,Covid,2021-09-01,60.1
Arizona,Covid,2021-10-01,45.44
Arizona,Covid,2021-11-01,58.33
Arizona,Covid,2021-12-01,62.05
Arizona,Covid,2022-01-01,73.47
Arizona,Covid,2022-02-01,75.28
Arizona,Covid,2022-03-01,66.59
Arizona,Covid,2022-04-01,73.52
Arizona,Covid,2022-05-01,65.92
Arizona,Covid,2022-06-01,72.12
Arizona,Covid,2022-07-01,59.49
Arizona,Covid,2022-08-01,64.63
Arizona,Covid,2022-09-01,53.94
Arizona,Covid,2022-10-01,73.2
Arizona,Covid,2022-11-01,50.44
Arizona,Covid,2022-12-01,72.58
Arizona,Covid,2023-01-01,67.37
Arizona,Covid,2023-02-01,58.93
Arizona,Covid,2023-03-01,56.44
Arizona,Covid,2023-04-01,93.23
Arizona,Covid,2023-05-01,72.34
Arizona,Covid,2023-06-01,79.9
Arizona,Covid,2023-07-01,85.87
Arizona,Covid,2023-08-01,75.65
Arizona,Covid,2023-09-01,55.01
Arizona,Covid,2023-10-01,66.08
Arizona,Covid,2023-11-01,48.12
Arizona,Covid,2023-12-01,76.1
Arizona,Covid,2024-01-01,78.04
Arizona,Covid,2024-02-01,85.3
Arizona,Covid,2024-03-01,87.43
Arizona,Covid,2024-04-01,95.0
Arizona,Covid,2024-05-01,82.21
Arizona,Covid,2024-06-01,69.39
Arizona,Covid,2024-07-01,66.42
Arizona,Covid,2024-08-01,75.79
Arizona,Covid,2024-09-01,74.27
Arizona,Covid,2024-10-01,55.92
Arizona,Covid,2024-11-01,67.58
Arizona,Covid,2024-12-01,66.31
Arkansas,Flu,2020-01-01,81.13
Arkansas,Flu,2020-02-01,98.86
Arkansas,Flu,2020-03-01,108.14
Arkansas,Flu,2020-04-01,133.94
Arkansas,Flu,2020-05-01,113.49
Arkansas,Flu,2020-06-01,95.28
Arkansas,Flu,2020-07-01,90.84
Arkansas,Flu,2020-08-01,105.88
Arkansas,Flu,2020-09-01,88.73
Arkansas,Flu,2020-10-01,100.63
Arkansas,Flu,2020-11-01,74.5
Arkansas,Flu,2020-12-01,96.89
Arkansas,Flu,2021-01-01,125.02
Arkansas,Flu,2021-02-01,108.0
Arkansas,Flu,2021-03-01,114.06
Arkansas,Flu,2021-04-01,116.99
Arkansas,Flu,2021-05-01,128.29
Arkansas,Flu,2021-06-01,112.43
Arkansas,Flu,2021-07-01,91.16
Arkansas,Flu,2021-08-01,102.31
Arkansas,Flu,2021-09-01,114.72
Arkansas,Flu,2021-10-01,86.83
Arkansas,Flu,2021-11-01,73.92
Arkansas,Flu,2021-12-01,112.8
Arkansas,Flu,2022-01-01,100.68
Arkansas,Flu,2022-02-01,109.47
Arkansas,Flu,2022-03-01,118.44
Arkansas,Flu,2022-04-01,110.48
Arkansas,Flu,2022-05-01,107.7
Arkansas,Flu,2022-06-01,103.66
Arkansas,Flu,2022-07-01,111.99
Arkansas,Flu,2022-08-01,99.76
Arkansas,Flu,2022-09-01,94.78
Arkansas,Flu,2022-10-01,98.6
Arkansas,Flu,2022-11-01,94.23
Arkansas,Flu,2022-12-01,103.25
Arkansas,Flu,2023-01-01,91.77
Arkansas,Flu,2023-02-01,106.9
Arkansas,Flu,2023-03-01,127.61
Arkansas,Flu,2023-04-01,112.43
Arkansas,Flu,2023-05-01,126.85
Arkansas,Flu,2023-06-01,122.36
Arkansas,Flu,2023-07-01,94.29
Arkansas,Flu,2023-08-01,112.93
Arkansas,Flu,2023-09-01,96.75
Arkansas,Flu,2023-10-01,105.09
Arkansas,Flu,2023-11-01,103.49
Arkansas,Flu,2023-12-01,114.67
Arkansas,Flu,2024-01-01,120.87
Arkansas,Flu,2024-02-01,90.43
Arkansas,Flu,2024-03-01,120.02
Arkansas,Flu,2024-04-01,100.8
Arkansas,Flu,2024-05-01,122.94
Arkansas,Flu,2024-06-01,118.02
Arkansas,Flu,2024-07-01,91.8
Arkansas,Flu,2024-08-01,94.92
Arkansas,Flu,2024-09-01,97.23
Arkansas,Flu,2024-10-01,77.37
Arkansas,Flu,2024-11-01,96.84
Arkansas,Flu,2024-12-01,112.88
Arkansas,Covid,2020-01-01,101.2
Arkansas,Covid,2020-02-01,100.18
Arkansas,Covid,2020-03-01,120.56
Arkansas,Covid,2020-04-01,118.03
Arkansas,Covid,2020-05-01,104.66
Arkansas,Covid,2020-06-01,107.59
Arkansas,Covid,2020-07-01,79.12
Arkansas,Covid,2020-08-01,104.12
Arkansas,Covid,2020-09-01,91.43
Arkansas,Covid,2020-10-01,95.87
Arkansas,Covid,2020-11-01,97.86
Arkansas,Covid,2020-12-01,101.28
Arkansas,Covid,2021-01-01,108.96
Arkansas,Covid,2021-02-01,115.6
Arkansas,Covid,2021-03-01,109.15
Arkansas,Covid,2021-04-01,118.42
Arkansas,Covid,2021-05-01,99.75
Arkansas,Covid,2021-06-01,100.29
Arkansas,Covid,2021-07-01,106.87
Arkansas,Covid,2021-08-01,120.37
Arkansas,Covid,2021-09-01,118.7
Arkansas,Covid,2021-10-01,88.18
Arkansas,Covid,2021-11-01,104.09
Arkansas,Covid,2021-12-01,124.12
Arkansas,Covid,2022-01-01,102.44
Arkansas,Covid,2022-02-01,109.94
Arkansas,Covid,2022-03-01,111.59
Arkansas,Covid,2022-04-01,105.06
Arkansas,Covid,2022-05-01,107.13
Arkansas,Covid,2022-06-01,110.82
Arkansas,Covid,2022-07-01,90.49
Arkansas,Covid,2022-08-01,109.96
Arkansas,Covid,2022-09-01,101.65
Arkansas,Covid,2022-10-01,87.0
Arkansas,Covid,2022-11-01,95.82
Arkansas,Covid,2022-12-01,101.54
Arkansas,Covid,2023-01-01,97.23
Arkansas,Covid,2023-02-01,104.95
Arkansas,Covid,2023-03-01,100.57
Arkansas,Covid,2023-04-01,110.86
Arkansas,Covid,2023-05-01,120.33
Arkansas,Covid,2023-06-01,107.06
Arkansas,Covid,2023-07-01,88.79
Arkansas,Covid,2023-08-01,113.18
Arkansas,Covid,2023-09-01,100.85
Arkansas,Covid,2023-10-01,100.78
Arkansas,Covid,2023-11-01,97.62
Arkansas,Covid,2023-12-01,103.26
Arkansas,Covid,2024-01-01,108.77
Arkansas,Covid,2024-02-01,99.18
Arkansas,Covid,2024-03-01,126.0
Arkansas,Covid,2024-04-01,103.6
Arkansas,Covid,2024-05-01,112.98
Arkansas,Covid,2024-06-01,106.68
Arkansas,Covid,2024-07-01,91.84
Arkansas,Covid,2024-08-01,100.47
Arkansas,Covid,2024-09-01,104.52
Arkansas,Covid,2024-10-01,90.07
Arkansas,Covid,2024-11-01,119.64
Arkansas,Covid,2024-12-01,109.51
California,Flu,2020-01-01,63.97
California,Flu,2020-02-01,51.05
California,Flu,2020-03-01,66.66
California,Flu,2020-04-01,68.55
California,Flu,2020-05-01,87.27
California,Flu,2020-06-01,63.47
California,Flu,2020-07-01,71.5
California,Flu,2020-08-01,44.09
California,Flu,2020-09-01,41.01
California,Flu,2020-10-01,55.62
California,Flu,2020-11-01,40.19
California,Flu,2020-12-01,49.11
California,Flu,2021-01-01,55.54
California,Flu,2021-02-01,66.29
California,Flu,2021-03-01,79.1
California,Flu,2021-04-01,82.21
California,Flu,2021-05-01,66.57
California,Flu,2021-06-01,66.18
California,Flu,2021-07-01,62.83
California,Flu,2021-08-01,62.96
California,Flu,2021-09-01,58.49
California,Flu,2021-10-01,70.81
California,Flu,2021-11-01,53.56
California,Flu,2021-12-01,68.24
California,Flu,2022-01-01,46.5
California,Flu,2022-02-01,61.82
California,Flu,2022-03-01,76.39
California,Flu,2022-04-01,82.7
California,Flu,2022-05-01,73.74
California,Flu,2022-06-01,72.83
California,Flu,2022-07-01,47.26
California,Flu,2022-08-01,48.18
California,Flu,2022-09-01,63.06
California,Flu,2022-10-01,59.9
California,Flu,2022-11-01,45.43
California,Flu,2022-12-01,60.04
California,Flu,2023-01-01,50.17
California,Flu,2023-02-01,67.35
California,Flu,2023-03-01,66.71
California,Flu,2023-04-01,82.42
California,Flu,2023-05-01,86.09
California,Flu,2023-06-01,58.31
California,Flu,2023-07-01,82.27
California,Flu,2023-08-01,59.81
California,Flu,2023-09-01,59.44
California,Flu,2023-10-01,53.62
California,Flu,2023-11-01,60.11
California,Flu,2023-12-01,58.08
California,Flu,2024-01-01,70.75
California,Flu,2024-02-01,78.1
California,Flu,2024-03-01,80.61
California,Flu,2024-04-01,74.84
California,Flu,2024-05-01,69.9
California,Flu,2024-06-01,51.46
California,Flu,2024-07-01,76.68
California,Flu,2024-08-01,56.7
California,Flu,2024-09-01,76.77
California,Flu,2024-10-01,60.98
California,Flu,2024-11-01,59.97
California,Flu,2024-12-01,70.26
California,Covid,2020-01-01,50.87
California,Covid,2020-02-01,46.24
California,Covid,2020-03-01,69.89
California,Covid,2020-04-01,75.93
California,Covid,2020-05-01,55.23
California,Covid,2020-06-01,58.8
California,Covid,2020-07-01,58.39
California,Covid,2020-08-01,60.45
California,Covid,2020-09-01,48.83
California,Covid,2020-10-01,39.55
California,Covid,2020-11-01,43.94
California,Covid,2020-12-01,47.99
California,Covid,2021-01-01,40.28
California,Covid,2021-02-01,57.87
California,Covid,2021-03-01,72.55
California,Covid,2021-04-01,83.26
California,Covid,2021-05-01,62.81
California,Covid,2021-06-01,58.26
California,Covid,2021-07-01,66.97
California,Covid,2021-08-01,29.5
California,Covid,2021-09-01,61.62
California,Covid,2021-10-01,56.35
California,Covid,2021-11-01,66.25
California,Covid,2021-12-01,73.23
California,Covid,2022-01-01,60.89
California,Covid,2022-02-01,73.61
California,Covid,2022-03-01,71.14
California,Covid,2022-04-01,99.43
California,Covid,2022-05-01,72.08
California,Covid,2022-06-01,87.48
California,Covid,2022-07-01,75.86
California,Covid,2022-08-01,66.27
California,Covid,2022-09-01,59.81
California,Covid,2022-10-01,57.35
California,Covid,2022-11-01,50.83
California,Covid,2022-12-01,58.86
California,Covid,2023-01-01,70.95
California,Covid,2023-02-01,77.06
California,Covid,2023-03-01,71.97
California,Covid,2023-04-01,84.21
California,Covid,2023-05-01,69.3
California,Covid,2023-06-01,60.83
California,Covid,2023-07-01,68.18
California,Covid,2023-08-01,63.62
California,Covid,2023-09-01,75.33
California,Covid,2023-10-01,72.76
California,Covid,2023-11-01,74.85
California,Covid,2023-12-01,69.63
California,Covid,2024-01-01,68.48
California,Covid,2024-02-01,76.01
California,Covid,2024-03-01,76.81
California,Covid,2024-04-01,86.12
California,Covid,2024-05-01,100.02
California,Covid,2024-06-01,87.68
California,Covid,2024-07-01,58.0
California,Covid,2024-08-01,69.99
California,Covid,2024-09-01,60.82
California,Covid,2024-10-01,71.41
California,Covid,2024-11-01,70.39
California,Covid,2024-12-01,67.32
Colorado,Flu,2020-01-01,105.29
Colorado,Flu,2020-02-01,85.7
Colorado,Flu,2020-03-01,91.12
Colorado,Flu,2020-04-01,109.67
Colorado,Flu,2020-05-01,100.65
Colorado,Flu,2020-06-01,91.22
Colorado,Flu,2020-07-01,89.58
Colorado,Flu,2020-08-01,85.12
Colorado,Flu,2020-09-01,92.02
Colorado,Flu,2020-10-01,82.14
Colorado,Flu,2020-11-01,78.59
Colorado,Flu,2020-12-01,81.55
Colorado,Flu,2021-01-01,121.31
Colorado,Flu,2021-02-01,96.13
Colorado,Flu,2021-03-01,98.65
Colorado,Flu,2021-04-01,93.54
Colorado,Flu,2021-05-01,105.19
Colorado,Flu,2021-06-01,121.13
Colorado,Flu,2021-07-01,85.54
Colorado,Flu,2021-08-01,84.36
Colorado,Flu,2021-09-01,87.34
Colorado,Flu,2021-10-01,97.86
Colorado,Flu,2021-11-01,90.42
Colorado,Flu,2021-12-01,70.39
Colorado,Flu,2022-01-01,92.31
Colorado,Flu,2022-02-01,104.95
Colorado,Flu,2022-03-01,98.5
Colorado,Flu,2022-04-01,103.21
Colorado,Flu,2022-05-01,92.36
Colorado,Flu,2022-06-01,85.97
Colorado,Flu,2022-07-01,94.17
Colorado,Flu,2022-08-01,90.95
Colorado,Flu,2022-09-01,92.5
Colorado,Flu,2022-10-01,86.09
Colorado,Flu,2022-11-01,79.69
Colorado,Flu,2022-12-01,91.22
Colorado,Flu,2023-01-01,95.49
Colorado,Flu,2023-02-01,104.4
Colorado,Flu,2023-03-01,98.87
Colorado,Flu,2023-04-01,94.15
Colorado,Flu,2023-05-01,103.37
Colorado,Flu,2023-06-01,98.29
Colorado,Flu,2023-07-01,93.43
Colorado,Flu,2023-08-01,83.06
Colorado,Flu,2023-09-01,81.85
Colorado,Flu,2023-10-01,72.76
Colorado,Flu,2023-11-01,93.74
Colorado,Flu,2023-12-01,107.77
Colorado,Flu,2024-01-01,108.97
Colorado,Flu,2024-02-01,76.71
Colorado,Flu,2024-03-01,87.19
Colorado,Flu,2024-04-01,118.57
Colorado,Flu,2024-05-01,103.2
Colorado,Flu,2024-06-01,107.85
Colorado,Flu,2024-07-01,94.91
Colorado,Flu,2024-08-01,89.16
Colorado,Flu,2024-09-01,90.63
Colorado,Flu,2024-10-01,95.09
Colorado,Flu,2024-11-01,87.48
Colorado,Flu,2024-12-01,102.39
Colorado,Covid,2020-01-01,84.15
Colorado,Covid,2020-02-01,90.72
Colorado,Covid,2020-03-01,94.55
Colorado,Covid,2020-04-01,101.7
Colorado,Covid,2020-05-01,99.79
Colorado,Covid,2020-06-01,93.73
Colorado,Covid,2020-07-01,93.38
Colorado,Covid,2020-08-01,83.2
Colorado,Covid,2020-09-01,68.49
Colorado,Covid,2020-10-01,89.58
Colorado,Covid,2020-11-01,81.86
Colorado,Covid,2020-12-01,87.57
Colorado,Covid,2021-01-01,105.35
Colorado,Covid,2021-02-01,91.34
Colorado,Covid,2021-03-01,84.37
Colorado,Covid,2021-04-01,102.75
Colorado,Covid,2021-05-01,89.11
Colorado,Covid,2021-06-01,87.87
Colorado,Covid,2021-07-01,109.13
Colorado,Covid,2021-08-01,88.16
Colorado,Covid,2021-09-01,72.5
Colorado,Covid,2021-10-01,87.74
Colorado,Covid,2021-11-01,94.56
Colorado,Covid,2021-12-01,94.57
Colorado,Covid,2022-01-01,92.92
Colorado,Covid,2022-02-01,86.38
Colorado,Covid,2022-03-01,110.08
Colorado,Covid,2022-04-01,121.06
Colorado,Covid,2022-05-01,101.75
Colorado,Covid,2022-06-01,99.33
Colorado,Covid,2022-07-01,86.2
Colorado,Covid,2022-08-01,100.88
Colorado,Covid,2022-09-01,89.41
Colorado,Covid,2022-10-01,79.14
Colorado,Covid,2022-11-01,84.83
Colorado,Covid,2022-12-01,81.61
Colorado,Covid,2023-01-01,92.91
Colorado,Covid,2023-02-01,107.12
Colorado,Covid,2023-03-01,107.07
Colorado,Covid,2023-04-01,122.54
Colorado,Covid,2023-05-01,106.17
Colorado,Covid,2023-06-01,84.93
Colorado,Covid,2023-07-01,101.63
Colorado,Covid,2023-08-01,74.4
Colorado,Covid,2023-09-01,87.14
Colorado,Covid,2023-10-01,76.05
Colorado,Covid,2023-11-01,106.08
Colorado,Covid,2023-12-01,87.26
Colorado,Covid,2024-01-01,99.64
Colorado,Covid,2024-02-01,104.58
Colorado,Covid,2024-03-01,97.38
